,Alter bei Riss,Geburt,Liga,Name,Position,Rissdatum,Rissdatum dezimal,Saison,Verein,Verletzungszeit,Webseite
447,28,1989-11-14,serie-a,Vlad Chiriches,Innenverteidiger                            ,2018-09-08,2018.6794520547944,18,SSC Neapel,153,https://www.transfermarkt.ch/vlad-chiriches/verletzungen/spieler/123261
448,22,1997-04-04,laliga,Kike Barja,Rechtsaußen                            ,2019-07-16,2019.5369863013698,19,CA Osasuna,0,https://www.transfermarkt.ch/kike-barja/verletzungen/spieler/298575
449,24,1989-05-01,bundesliga,Alexander Grünwald,Offensives Mittelfeld                            ,2013-09-16,2013.7013698630137,13,FK Austria Wien,185,https://www.transfermarkt.ch/alexander-grunwald/verletzungen/spieler/34763
450,24,1990-05-02,1-liga-gruppe-3,Nenad Bijelic,Mittelstürmer                            ,2014-07-30,2014.5753424657535,14,FC Baden,335,https://www.transfermarkt.ch/nenad-bijelic/verletzungen/spieler/105849
451,31,1975-03-01,1-bundesliga,Rüdiger Kauf,Defensives Mittelfeld                            ,2006-07-20,2006.5479452054794,06,Arminia Bielefeld,200,https://www.transfermarkt.ch/rudiger-kauf/verletzungen/spieler/603
452,24,1988-10-12,laliga2,Raúl Goni,Innenverteidiger                            ,2013-07-29,2013.572602739726,13,CE Sabadell,215,https://www.transfermarkt.ch/raul-goni/verletzungen/spieler/61869
453,20,1988-10-12,laliga2,Raúl Goni,Innenverteidiger                            ,2009-02-11,2009.1123287671232,08,Real Saragossa ,203,https://www.transfermarkt.ch/raul-goni/verletzungen/spieler/61869
454,20,1998-08-09,serie-c-girone-b,Giorgio Altare,Innenverteidiger                            ,2018-09-22,2018.717808219178,18,Feralpisalò,19 ,https://www.transfermarkt.ch/giorgio-altare/verletzungen/spieler/354909
455,26,1988-03-10,super-league,Edgars Gauracs,Mittelstürmer                            ,2014-07-27,2014.5671232876712,14,FC Aarau,309,https://www.transfermarkt.ch/edgars-gauracs/verletzungen/spieler/44271
456,29,1981-09-02,*]]>*,Miguel Albiol,Rechtes Mittelfeld                            ,2011-06-08,2011.4328767123288,10,Real Murcia,238,https://www.transfermarkt.ch/miguel-albiol/verletzungen/spieler/72184
